words,generated_texts,fine-tune,prompt,expected level,levels_with_RKI_bert,perplexity,rucola,self_bleu
"['целый вечер', 'проспать', 'проговорить']","Целый вечер я проспала на диване, не смотря на то, что хотела проговорить с кем-то. Я чувствовала себя одинокой и немного грустной. Вдруг я услышала звук открывающейся двери и внутри появилась моя подруга. Мы обнялись и начали говорить о нашей жизни. Я рассказала ей о своих проблемах и она поддержала меня. Мы провели вместе целый вечер, и я поняла, что хорошо провести время с близкими людьми – это самое лучшее лекарство от одиночества.",1,0,B1,B1,9.8369460105896,0.9249077339967092,0.6049979605389258
"['целый вечер', 'проспать', 'проговорить']","Целый вечер я проспал, несмотря на то, что в комнате было темно и тихо. Я закрыл глаза и попытался заснуть, но мозг продолжал работать. Я начал проговорить все свои мысли и соображения. В конце концов, я понял, что мне нужно было выйти из своей комфортной зоны и попытаться что-то новое. Я решил, что завтра буду делать то, что никогда не делал раньше. Я заснул с улыбкой на лице, зная, что завтра будет интересно.",1,1,B1,B1,9.119721333185831,0.3573126395543416,0.5805697773522253
"['доход', 'накопления', 'траты']","У Петра был доход, который он получал от своей работы в офисе. Он хотел накопить деньги, чтобы купить новую машину. Однако, он тратил много денег на развлечения, такие как походы в рестораны и покупки новой одежды. Каждый раз, когда он накоплял деньги, он тратил их на что-то новое. Его накопления оставались на нулевом уровне. В конце концов, он понял, что ему нужно пересмотреть свои траты и начать экономить. Он перестал ходить в рестораны и покупать новую одежду, и начал экономить деньги. Его накопления начали расти, и он купил новую машину. Теперь он знал, что нужно экономить деньги, чтобы достичь своих целей.",1,0,B1,B1,8.85772180557251,0.9717355635431076,0.599489544805799
"['доход', 'накопления', 'траты']","У меня всегда был хороший доход, но я не мог контролировать свои траты. Я постоянно тратил деньги на ненужные вещи, не замечая, как мои накопления уменьшаются. Я понимал, что мне нужно что-то делать, чтобы изменить свою ситуацию. Я начал следить за своими тратами и перестал покупать ненужные вещи. Я также начал вкладывать деньги в банк, чтобы получать доход на свои накопления. Сейчас я чувствую себя более уверенно в своих финансовых делах и накопления растут быстрее, чем раньше.",1,1,B1,B1,8.737637519836426,0.8985398709774017,0.4978375993722804
"['принимать решения', 'пообщаться', 'определиться']","Однажды утром я проснулся и понял, что мне нужно принять важное решение. Я должен был выбрать между двумя вариантами, которые казались мне одинаково привлекательными. Я решил пообщаться с моими друзьями, чтобы получить их мнение. Мы провели долгий разговор, и я смог определиться с выбором. Я понял, что принимать решения - это не легко, но общение с близкими людьми может помочь мне сделать правильный выбор.",0,0,B2,B1,8.508053207397461,0.9816375970840454,0.5127038342996475
"['принимать решения', 'пообщаться', 'определиться']","Однажды утром, я проснулся и понял, что мне нужно принять важное решение. Я должен был выбрать между двумя вариантами, которые казались мне одинаково привлекательными. Я решил пообщаться с моими друзьями, чтобы получить их мнение. Мы провели долгий разговор, и я смог определиться. Я понял, что важно не только выбрать правильный вариант, но и быть уверенным в своем выборе. Я благодарен своим друзьям за их помощь и советы, и теперь я знаю, что мне нужно делать дальше.",0,1,B2,B1,8.535072565078735,0.966434399286906,0.5305998231803598
"['психика', 'генная инженерия', 'анабиоз']","Однажды ученые использовали генную инженерию для создания нового вида бактерий, которые могли бы выживать в анабиозе - состоянии, когда жизнь организма невозможна при нормальных условиях. Бактерии были созданы с помощью психики, что позволило им выживать в условиях, когда обычные бактерии быстро умирали. Эти бактерии были использованы для лечения различных инфекций и болезней, и стали важным прорывом в медицине.",0,0,B2,B1,8.22596025466919,0.3275768160820007,0.3131569207453425
"['психика', 'генная инженерия', 'анабиоз']","Когда-то давно, ученый по имени Джошуа начал эксперименты с генной инженерией. Он хотел создать новый вид животных, который был бы способен выживать в самых экстремальных условиях. Для этого он использовал психику и анабиоз, чтобы изучить, как животные реагируют на различные стрессовые ситуации. В итоге, он создал группу уникальных существ, которые были способны выживать в самых неблагоприятных условиях. Однако, по мере того, как время шло, Джошуа начал замечать, что его эксперименты имели непредвиденные последствия. Некоторые из его созданий стали слишком агрессивными и начали атаковать людей. Джошуа понял, что он совершил огромную ошибку, и ре",0,1,B2,B1,9.188201904296877,0.4499693512916565,0.45470592793224
"['пренебрежение', 'разрушение', 'проявление']","Однажды молодой человек решил проверить, насколько сильно он может проявить пренебрежение к окружающим. Он начал разрушать все, что находил на своем пути, не обращая внимания на чувства и потребности других людей. Но вскоре его проявление привело к тому, что он потерял всех своих друзей и близких. Он понял, что пренебрежение может привести к разрушению отношений и жизни в целом. Тогда он решил изменить свое поведение и начал проявлять заботу и уважение к окружающим. Он понял, что только такое проявление может привести к настоящему счастью и гармонии в жизни.",0,0,B2,B1,7.582147757212321,0.9815267225106558,0.43027383485789406
"['пренебрежение', 'разрушение', 'проявление']","Однажды в маленьком городке произошло разрушение старинного здания, которое стояло там уже много лет. Все жители города были в шоке, потому что это было символом их города. Но вскоре проявилось пренебрежение к этому событию со стороны некоторых жителей. Они продолжали жить своей жизнью, не обращая внимания на то, что произошло. Однако, другие жители решили не оставаться равнодушными и начали организовывать сбор средств на восстановление здания. Их проявление заставило всех жителей города присоединиться к этой инициативе, и в итоге здание было восстановлено. Теперь оно стало символом не только прошлого, но и будущего города.",0,1,B2,B1,8.4504075050354,0.9420379144804818,0.45218663840600765
"['посвящать', 'возлагать надежды', 'произвести фурор']","Однажды молодой художник решил посвятить свою жизнь созданию великолепного произведения искусства. Он возлагал надежды на то, что его творение принесет фурор в мире искусства. В течение многих лет он трудился над своим проектом, и в конце концов, его работа была готова. Когда его произведение было представлено публике, оно вызвало огромный интерес и положительные отзывы. Многие люди были поражены его талантом и оригинальностью. Художник был счастлив, зная, что его работа произвела фурор в мире искусства.",0,0,C1,B1,8.675030628840128,0.9820729990800222,0.4780051091045336
"['посвящать', 'возлагать надежды', 'произвести фурор']","Когда-то давно, молодой музыкант по имени Макс решил посвятить свою жизнь созданию музыки. Он мечтал о том, чтобы его музыка произвела фурор и возлагал на нее огромные надежды. Каждый день он работал над своей музыкой, пытаясь создать что-то уникальное и запоминающееся. Со временем, Макс стал все более и более талантливым музыкантом, и его музыка начала привлекать внимание все большего числа людей. Его песни стали популярными, и он начал получать много предложений от лейблов и продюсеров. Но Макс не был удовлетворен этим успехом. Он хотел, чтобы его музыка не только была популярной, но и имела глубокий смысл и вдохновляла людей. Он продолжал работать",0,1,C1,B1,9.68203091621399,0.7783498167991638,0.6265141583978883
"['вновь', 'поскольку', 'именно']","Вновь я решил пойти на прогулку в парке, поскольку я люблю проводить время на свежем воздухе. Когда я пришел туда, я заметил, что все деревья покрыты сосновыми иглушками, именно таким образом, как я любил их в детстве. Я почувствовал, что снова вернулся в свое детство, и решил провести там еще несколько часов, наслаждаясь красотой природы.",0,0,C1,B1,8.881834665934244,0.8405336141586304,0.35944130060152635
"['вновь', 'поскольку', 'именно']","Вновь я столкнулся с проблемой, которую не смог решить ранее. Поскольку я был очень уверен в своих знаниях и опыте, я решил попробовать разобраться в этой проблеме самостоятельно. Но это было трудно, и я понял, что мне нужна помощь других специалистов. Именно это помогло мне решить проблему и добиться успеха в моей работе.",0,1,C1,B1,9.406471014022827,0.9891901165246964,0.5176724767435403
"['оппозиция', 'трактовать', 'нивелировать']","В тот день, когда я впервые увидел оппозицию между двумя партиями, я был поражен тем, как они трактовали одну и ту же ситуацию. Одна партия говорила о том, что это прекрасная возможность для развития экономики, в то время как другая партия говорила о том, что это будет опасным шагом. Я не мог понять, почему они могут трактовать одну и ту же ситуацию по-разному. Но потом я осознал, что каждая партия имеет свои собственные интересы, и они могут нивелировать друг друга, чтобы достичь своих целей.",0,0,C1,C1,8.347982168197632,0.9271660149097444,0.3467721225819147
"['оппозиция', 'трактовать', 'нивелировать']","В современном обществе часто возникает необходимость трактовать различные точки зрения и мнения. Оппозиция между разными группами и индивидуумами часто приводит к конфликтам и недопониманию. Однако, важно понимать, что каждый имеет право на свое мнение и точку зрения. Мы не должны нивелировать мнения других людей, даже если они противоречат нашим собственным. Вместо этого, мы должны уважать их и пытаться понять, почему они думают так, как они думают. Только тогда мы сможем достичь гармонии и понимания в нашем обществе.",0,1,C1,C2,7.934648990631103,0.991592933734258,0.45532126351495433
"['выпускной', 'сказка', 'парусник']","В выпускном классе учительница рассказала сказку о паруснике, который отправился в опасное путешествие на поиски приключений. Он пересекал океан, встречал разных животных и сражался с морскими чудовищами. В конце концов, он вернулся домой с богатством и счастьем, благодаря своей отваге и находчивости.",0,0,B1,B1,9.3876953125,0.9637059370676676,0.40108720470187703
"['выпускной', 'сказка', 'парусник']","В выпускной школы я рассказала сказку о паруснике, который отправился в далекое путешествие на своей паруснике. Он встретил множество приключений на своем пути, но в конце концов добрался до своей цели - острова, на котором жила его любимая принцесса. Там он встретил ее и они жили счастливо вместе на острове, наслаждаясь жизнью вдали от городской суеты.",0,1,B1,B1,9.227096716562906,0.3231303890546163,0.3316681580313048
"['целый вечер', 'проспать', 'проговорить']","Я провел целый вечер, сидя на диване и проспать. Я был уставшим после долгого дня на работе и хотел просто отдохнуть. Я закрыл глаза и заснул, проговорив себе в голову, что завтра будет новый день и я смогу начать все сначала.",0,0,B1,B1,8.561172803243002,-0.2589979370435079,0.5760061982729727
"['целый вечер', 'проспать', 'проговорить']","Когда я уставшийся после долгого дня на работе, я решил проспать целый вечер. Я лег на кровать и закрыл глаза, надеясь, что мне понадобится всего несколько минут, чтобы заснуть. Однако, я не мог заснуть. Моя голова была полна мыслей и эмоций, которые не давали мне покоя. Я решил проговорить все свои мысли и эмоции, надеясь, что это поможет мне расслабиться и заснуть. Я начал говорить вслух, выражая все свои чувства и мысли, и, к моему удивлению, это действительно помогло мне расслабиться и заснуть.",0,1,B1,B1,10.17615524927775,0.6475272675355276,0.6128424756367803
"['доход', 'накопления', 'траты']","Однажды утром я проснулся и понял, что моя накопление сократилось до минимума. Я начал думать о том, как я могу увеличить свой доход, чтобы снова накопить деньги. Я решил, что мне нужно сократить траты и начать экономить. Я начал экономить на еде, перестал покупать дорогие вещи и начал искать более дешевые альтернативы. Я также начал искать дополнительную работу, чтобы увеличить свой доход. С каждым днем я замечал, что моя накопление начинает расти снова. Я понял, что если я буду экономить и работать дополнительно, то я смогу достичь своих финансовых целей.",0,0,B1,B1,8.731277602059501,0.3752456988607134,0.5037001129218008
"['доход', 'накопления', 'траты']","Когда-то у меня было много денег, но я не знал, что делать с ними. Я начал накоплять их, но потом понял, что мне не хватает. Я тратил много денег на развлечения и покупки, которые мне не были необходимы. Я понял, что мне нужно было изменить свой образ жизни, чтобы сохранить свои накопления. Я начал экономить деньги и планировать свои траты. Я перестал покупать вещи, которые мне не нужны, и начал тратить деньги только на необходимые вещи. Я также начал инвестировать свои накопления, чтобы они росли быстрее. Сейчас я чувствую себя более уверенно в своих финансовых делах и знаю, что мои накопления будут надежно защищены.",0,1,B1,B1,8.597590267658234,0.987206719815731,0.5246936618142124
